/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10426/: vold = 160.9941205303082, vnew = 21.779781139479866, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10427/: vold = 233.30251231235445, vnew = 93.03682189699182, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10428/: vold = 105.64389857178843, vnew = 33.927828510638335, difference = 481, maxdiff = 0.00033146142959594727
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10429/: vold = 41.75719102523421, vnew = 173.70722226749405, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1043/: vold = 111.3265664349467, vnew = 39.961452215543154, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10430/: vold = 70.08171996231029, vnew = 139.41276980216014, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10431/: vold = 106.43396072444062, vnew = 89.49635214049766, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10432/: vold = 364.06478956362815, vnew = 98.00688385947495, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10433/: vold = 200.28038953140145, vnew = 23.009143276715236, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10434/: vold = 148.2222723880149, vnew = 31.26943377007615, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10435/: vold = 346.13920804817843, vnew = 46.379803394975426, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10436/: vold = 142.5426899945683, vnew = 63.872083543735876, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10437/: vold = 37.867176157656644, vnew = 150.72279287578098, difference = 1, maxdiff = 0.00010597705841064453
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10438/: vold = 169.2710539929256, vnew = 34.6467363987533, difference = 0, maxdiff = 0.0
